id,escolas_postos,bairro,endereço,lat,lon,quantidade,tipo
641,EM LAURO MULLER,PADRE MIGUEL,"R. ROSA DE ALMEIDA, 113","-22,88207","-43,44644",269.0,EM
689,EM MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO 30,"-22,86876","-43,45065",571.0,EM
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL S/Ndeg,"-22,88345","-43,42945",235.0,ESCOLA
477,EM PAULO MARANHAO,REALENGO,RUA DO GOVERNO 866,"-22,89299","-43,44121",187.0,EM
206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22896931,-43352667,392.0,EM
687,EM TASSO DA SILVEIRA,REALENGO,RUA GENERAL BERNARDINO DE MATOS S/N.o,"-22,88385","-43,41733",,EM
568,EM VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES 604,"-22,88907","-43,39248",362.0,EM
399,CIEP CLEMENTINA DE JESUS,CAMPO GRANDE,AV. ALHAMBRA S/No,"-22,92529","-43,56664",71.0,EM
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA S/No,"-22,92529","-43,56664",591.0,CIEP
262,CIEP HERIVELTO MARTINS,AUGUSTO VASCONCELOS,"PRACA SANTO ANASTACIO, S/N","-22,88648","-43,52880",221.0,CIEP
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/No","-22,89557","-43,57050",109.0,CIEP
616,CIEP PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,"R. CONCHAS, S/N","-22,88729","-43,58735",372.0,CIEP
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,"R. PEQUIA, 97","-22,91096","-43,61605",479.0,
144,EM ALFREDO CESARIO ALVIM,CAMPO GRANDE,"RUA RIO DA PRATA, R. LUISA MARILAC, 20","-22,92315","-43,51877",99.0,EM
534,EM CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM S/N KM 10 MENDANHA,"-22,85878","-43,53704",157.0,EM
342,E.M FERNANDO COSTA,CAMPO GRANDE,"RUA JOSE ALBANO, S/No","-22,89036","-43,59399",296.0,EM
052,E.M PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA S/No,"-22,90858","-43,58473",330.0,EM
139,EM JESUS SOARES PEREIRA,CAMPO GRANDE,R. CONSOLACAO 138,"-22,91959","-43,54683",316.0,EM
323,CIEP ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO S/Ndeg,"-22,93415","-43,66213",106.0,CIEP
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS S/N.o,"-22,88854","-43,63805",207.0,
560,EM ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO 750,"-22,92139","-43,68058",308.0,EM
246,EM FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS S/No,"-22,92306","-43,69233",459.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,87608","-43,34336",468.0,ESCOLA
319,EM MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME S/N.o,"-22,92485","-43,63289",537.0,EM
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO S/N.o,"-22,97173","-43,69735",342.0,ESCOLA
311,EM PESTALOZZI,SANTA CRUZ,RUA SEVERIANO DAS CHAGAS S/No,"-22,91571","-43,67975",162.0,EM
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUA EUDALDO GOMES DA SILVA S/N.o CONJ URUCANIA,"-22,91402","-43,65343",579.0,EM
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS S/N.o,"-22,87318","-43,62773",517.0,EM
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 S/N.o CONJ. CESARAO,"-22,93011","-43,65289",,EM
068,EM WALQUIR PEREIRA,NOVA SEPETIBA,ESTRADA DE SEPETIBA S/N BLOCO 1,"-22,95601","-43,68674",135.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,87608","-43,34336",468.0,ESCOLA
515,CIEP HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,"ESTRADA DA PEDRA, S/N.o","-22,97450","-43,64817",341.0,CIEP
289,EM BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI 2075,"-22,97906","-43,67058",329.0,EM
210,EM DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA 643,"-23,00141","-43,63875",570.0,EM
474,EM ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA 9.183,"-22,98046","-43,64354",320.0,EM
301,EM JONATAS SERRANO,GUARATIBA,"ESTRADA DO MATO ALTO, S/No","-22,95316","-43,57740",335.0,EM
215,E.M. NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO S/N.o,"-23,00908","-43,53758",,EM
606,EM PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ 4406,"-22,99412","-43,59368",521.0,EM
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,87608","-43,34336",468.0,ESCOLA
